id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,sell_price,day_of_week,is_weekend,quarter,scaled_sell_price,pi_mean,poblacion,Crecimiento_p,pib_por_estado,riqueza_per_capita,wti
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,9.58,5,1,1,2.226478785428733,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_002_CA_1_evaluation,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,3.97,5,1,1,0.08752985835755432,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_003_CA_1_evaluation,HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,2.97,5,1,1,-0.29374446019345796,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_004_CA_1_evaluation,HOBBIES_1_004,HOBBIES_1,HOBBIES,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,4.34,5,1,1,0.22860135622142874,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_005_CA_1_evaluation,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,2.98,5,1,1,-0.2899317170079479,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_006_CA_1_evaluation,HOBBIES_1_006,HOBBIES_1,HOBBIES,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,1.0,5,1,1,-1.0448548677389522,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_007_CA_1_evaluation,HOBBIES_1_007,HOBBIES_1,HOBBIES,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,7.94,5,1,1,1.6011889030050734,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_008_CA_1_evaluation,HOBBIES_1_008,HOBBIES_1,HOBBIES,CA_1,CA,d_1,12,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,0.46,5,1,1,-1.250742999756499,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_009_CA_1_evaluation,HOBBIES_1_009,HOBBIES_1,HOBBIES,CA_1,CA,d_1,2,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,1.56,5,1,1,-0.8313412493503853,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_010_CA_1_evaluation,HOBBIES_1_010,HOBBIES_1,HOBBIES,CA_1,CA,d_1,0,2011-01-29,11101,Saturday,1,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,3.17,5,1,1,-0.2174895964832556,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_2,0,2011-01-30,11101,Sunday,2,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,9.58,6,1,1,2.226478785428733,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_002_CA_1_evaluation,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,d_2,0,2011-01-30,11101,Sunday,2,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,3.97,6,1,1,0.08752985835755432,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
HOBBIES_1_003_CA_1_evaluation,HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_1,CA,d_2,0,2011-01-30,11101,Sunday,2,2011-01,2011,No Event,No Type,No Event,No Type,0,0,0,2.97,6,1,1,-0.29374446019345796,29541862.13793103,37638369.0,0.82,728344.5666666668,15065.0,92.19
